DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-04-27,0.045938,0.047672,0.044644,0.046601,168989554
2020-04-28,0.04663,0.048065,0.046265,0.047195,144584235
2020-04-29,0.04723,0.051997,0.047019,0.051695,192508666
2020-04-30,0.051717,0.054257,0.047565,0.047846,242494651
2020-05-01,0.047826,0.051955,0.047776,0.05126,169546437
2020-05-02,0.051196,0.05151,0.049891,0.051014,128138136
2020-05-03,0.051032,0.051691,0.048311,0.048929,139890791
2020-05-04,0.048964,0.050228,0.046523,0.049664,172243659
2020-05-05,0.049668,0.050502,0.049049,0.049358,128066778
2020-05-06,0.049302,0.051128,0.048983,0.049767,131357244
2020-05-07,0.04974,0.051487,0.048857,0.051106,143479708
2020-05-08,0.051083,0.053539,0.050986,0.052303,172647716
2020-05-09,0.052259,0.053028,0.051522,0.051736,141642171
2020-05-10,0.051744,0.051744,0.045003,0.047677,227335948
2020-05-11,0.047696,0.04945,0.04549,0.048108,206327744
2020-05-12,0.048094,0.050933,0.047906,0.050421,170879029
2020-05-13,0.050367,0.052045,0.049724,0.051472,148356780
2020-05-14,0.051365,0.051885,0.050481,0.05089,144469842
2020-05-15,0.050866,0.051767,0.050014,0.050463,142644324
2020-05-16,0.050423,0.051229,0.050084,0.050932,123913485
2020-05-17,0.050913,0.052078,0.050913,0.051343,115459525
2020-05-18,0.051294,0.054827,0.051094,0.054252,182874559
2020-05-19,0.054224,0.056887,0.052858,0.056449,186581379
2020-05-20,0.056459,0.057326,0.05465,0.056875,203310637
2020-05-21,0.056869,0.057482,0.050575,0.052246,228349552
2020-05-22,0.052283,0.056926,0.05152,0.055833,224368474
2020-05-23,0.05584,0.056437,0.054495,0.055322,131277191
2020-05-24,0.055265,0.05605,0.052629,0.052641,108565176
2020-05-25,0.052188,0.054345,0.051129,0.054011,183914564
2020-05-26,0.053881,0.05416,0.052034,0.05343,162232161
2020-05-27,0.05348,0.055914,0.053223,0.055183,185161265
2020-05-28,0.05512,0.067179,0.05505,0.064559,368087319
2020-05-29,0.064645,0.066666,0.062897,0.06466,393626086
2020-05-30,0.064777,0.07725,0.063818,0.076958,591436389
2020-05-31,0.076905,0.086029,0.072597,0.074352,848945702
2020-06-01,0.074244,0.082385,0.073659,0.081168,681780739
2020-06-02,0.080983,0.08245,0.073968,0.078456,588732847
2020-06-03,0.078518,0.085664,0.077421,0.085439,558410069
2020-06-04,0.085364,0.090089,0.084407,0.089,593406535
2020-06-05,0.08905,0.089163,0.084326,0.085442,357717348
2020-06-06,0.085449,0.087173,0.085176,0.086026,230814840
2020-06-07,0.086035,0.088604,0.083016,0.086654,317140970
2020-06-08,0.086703,0.087013,0.084601,0.08643,212837064
2020-06-09,0.086444,0.08653,0.083407,0.083407,213123820
2020-06-10,0.083394,0.083776,0.079992,0.083531,326625304
2020-06-11,0.08354,0.085147,0.074332,0.07536,321763381
2020-06-12,0.075368,0.080668,0.075169,0.079554,244019082
2020-06-13,0.079613,0.079657,0.077573,0.079028,161430428
2020-06-14,0.079103,0.079173,0.076386,0.076748,142625977
2020-06-15,0.076748,0.07986,0.06977,0.078387,330333741
2020-06-16,0.078381,0.079717,0.077061,0.079073,216508724
2020-06-17,0.079085,0.083661,0.077621,0.083445,294705846
2020-06-18,0.083445,0.084455,0.080377,0.082174,244522788
2020-06-19,0.082139,0.082139,0.078954,0.079603,211649409
2020-06-20,0.079603,0.080443,0.077441,0.079339,167247006
2020-06-21,0.079318,0.080932,0.078298,0.078475,151949751
2020-06-22,0.078472,0.08361,0.078432,0.08361,202271174
2020-06-23,0.083412,0.084018,0.081509,0.08295,184078790
2020-06-24,0.082992,0.087011,0.080589,0.082583,302220209
2020-06-25,0.082616,0.083487,0.079519,0.081691,207010908
2020-06-26,0.081732,0.082007,0.079859,0.080561,163378517
2020-06-27,0.080558,0.081239,0.076109,0.077679,148184221
2020-06-28,0.077679,0.081413,0.076251,0.080392,188871401
2020-06-29,0.080392,0.084336,0.080338,0.08387,275593607
2020-06-30,0.083848,0.084979,0.082026,0.083116,208687716
2020-07-01,0.083112,0.096085,0.082533,0.095954,411496624
2020-07-02,0.096897,0.096897,0.089062,0.094326,416119936
2020-07-03,0.094318,0.101483,0.092721,0.096538,449087829
2020-07-04,0.096652,0.100568,0.096143,0.099952,325220890
2020-07-05,0.099965,0.099965,0.094408,0.098211,262132088
